DIA;CONC;MTT;%MTT
3;1000;0,003;1,179168031
3;1000;0,007;2,751392073
3;1000;0,013;5,109728136
3;1000;0,008;3,144448084
3;1000;0,032;12,57779234
3;1000;0,02;7,86112021
3;1000;0,008;3,144448084
3;1000;0,011;4,323616115
3;1000;0,008;3,144448084
3;1000;0,006;2,358336063
3;1000;0,009;3,537504094
3;1000;0,013;5,109728136
4;0;0,254;107,2106929
4;0;0,255;107,6327823
4;0;0,277;116,9187478
4;0;0,253;106,7886036
4;0;0,25;105,5223356
4;0;0,239;100,8793528
4;0;0,213;89,9050299
4;0;0,226;95,39219135
4;0;0,217;91,59338727
4;0;0,191;80,61906437
4;0;0,227;95,81428069
4;0;0,162;68,37847344
4;0;0,249;105,1002462
4;0;0,234;98,76890609
4;0;0,257;108,476961
4;0;0,267;112,6978544
4;0;0,248;104,6781569
4;0;0,249;105,1002462
4;0;0,221;93,28174464
4;0;0,189;79,77488568
4;0;0,177;74,70981358
4;0;0,152;64,15758002
4;0;0,22;92,85965529
4;0;0,459;193,7390081
4;2;0,263;111,009497
4;2;0,246;103,8339782
4;2;0,271;114,3862117
4;2;0,258;108,8990503
4;2;0,233;98,34681674
4;2;0,254;107,2106929
4;2;0,202;85,26204713
4;2;0,181;76,39817095
4;2;0,193;81,46324305
4;2;0,147;62,04713331
4;2;0,154;65,00175871
4;2;0,156;65,84593739
4;2;0,247;104,2560675
4;2;0,248;104,6781569
4;2;0,225;94,970102
4;2;0,234;98,76890609
4;2;0,213;89,9050299
4;2;0,233;98,34681674
4;2;0,219;92,43756595
4;2;0,154;65,00175871
4;2;0,146;61,62504397
4;2;0,106;44,74147028
4;2;0,18;75,9760816
4;2;0,4;168,8357369
4;5;0,22;92,85965529
4;5;0,201;84,83995779
4;5;0,233;98,34681674
4;5;0,204;86,10622582
4;5;0,171;72,17727752
4;5;0,166;70,06683081
4;5;0,157;66,26802673
4;5;0,122;51,49489975
4;5;0,125;52,76116778
4;5;0,089;37,56595146
4;5;0,089;37,56595146
4;5;0,104;43,89729159
4;5;0,206;86,9504045
4;5;0,202;85,26204713
4;5;0,209;88,21667253
4;5;0,168;70,9110095
4;5;0,147;62,04713331
4;5;0,156;65,84593739
4;5;0,16;67,53429476
4;5;0,122;51,49489975
4;5;0,089;37,56595146
4;5;0,118;49,80654238
4;5;0,09;37,9880408
4;5;0,282;119,0291945
4;10;0,12;50,65072107
4;10;0,116;48,9623637
4;10;0,146;61,62504397
4;10;0,137;57,82623989
4;10;0,122;51,49489975
4;10;0,1;42,20893422
4;10;0,099;41,78684488
4;10;0,078;32,9229687
4;10;0,08;33,76714738
4;10;0,063;26,59162856
4;10;0,048;20,26028843
4;10;0,051;21,52655645
4;10;0,14;59,09250791
4;10;0,151;63,73549068
