DIA;CONC BCO;CONCMARCH;MTT;%MTT
2;27,50475;120;0,14;47,47103702
2;27,50475;120;0,105;35,60327776
2;27,50475;120;0,15;50,86182537
2;27,50475;120;0,139;47,13195818
2;27,50475;120;0,132;44,75840633
2;27,50475;120;0,137;46,45380051
2;27,50475;120;0,131;44,41932749
2;27,50475;120;0,134;45,436564
2;27,50475;120;0,247;83,75247245
2;55,0095;240;0,14;47,47103702
2;55,0095;240;0,007;2,373551851
2;55,0095;240;0,007;2,373551851
2;55,0095;240;0,013;4,408024866
2;55,0095;240;0,01;3,390788358
2;55,0095;240;0,076;25,76999152
2;55,0095;240;0,012;4,06894603
2;55,0095;240;0,009;3,051709522
2;55,0095;240;0,014;4,747103702
2;55,0095;240;0,014;4,747103702
2;55,0095;240;0,066;22,37920316
2;55,0095;240;0,012;4,06894603
2;55,0095;240;0,008;2,712630687
2;55,0095;240;0,005;1,695394179
2;55,0095;240;0,006;2,034473015
2;55,0095;240;0,006;2,034473015
2;55,0095;240;0,005;1,695394179
2;55,0095;240;0,014;4,747103702
2;55,0095;240;0,06;20,34473015
2;55,0095;240;0,026;8,816049732
2;55,0095;240;0,008;2,712630687
2;55,0095;240;0,006;2,034473015
2;55,0095;240;0,005;1,695394179
2;55,0095;240;0,009;3,051709522
2;82,51425;360;0,004;1,356315343
2;82,51425;360;0,004;1,356315343
2;82,51425;360;0,006;2,034473015
2;82,51425;360;0,005;1,695394179
2;82,51425;360;0,019;6,442497881
2;82,51425;360;0,004;1,356315343
2;82,51425;360;0,004;1,356315343
2;82,51425;360;0,004;1,356315343
2;82,51425;360;0,005;1,695394179
2;82,51425;360;0,003;1,017236507
2;82,51425;360;0,006;2,034473015
2;82,51425;360;0,011;3,729867194
2;82,51425;360;0,004;1,356315343
2;82,51425;360;0,005;1,695394179
2;82,51425;360;0,044;14,91946878
2;82,51425;360;0,006;2,034473015
2;82,51425;360;0,004;1,356315343
2;82,51425;360;0,006;2,034473015
2;82,51425;360;0,005;1,695394179
2;82,51425;360;0,005;1,695394179
2;82,51425;360;0,004;1,356315343
2;82,51425;360;0,005;1,695394179
2;82,51425;360;0,004;1,356315343
2;82,51425;360;0,004;1,356315343
2;110,019;480;0,021;7,120655552
2;110,019;480;0,005;1,695394179
2;110,019;480;0,004;1,356315343
2;110,019;480;0,006;2,034473015
2;110,019;480;0,005;1,695394179
2;110,019;480;0,005;1,695394179
2;110,019;480;0,005;1,695394179
2;110,019;480;0,016;5,425261373
2;110,019;480;0,004;1,356315343
2;110,019;480;0,005;1,695394179
2;110,019;480;0,044;14,91946878
2;110,019;480;0,004;1,356315343
2;110,019;480;0,006;2,034473015
2;110,019;480;0,006;2,034473015
2;110,019;480;0,005;1,695394179
2;110,019;480;0,005;1,695394179
2;110,019;480;0,004;1,356315343
2;110,019;480;0,004;1,356315343
2;110,019;480;0,003;1,017236507
2;110,019;480;0,005;1,695394179
2;110,019;480;0,003;1,017236507
2;110,019;480;0,0001;0,01
2;110,019;480;0,005;1,695394179
2;110,019;480;0,005;1,695394179
2;220,038;960;0,009;3,051709522
2;220,038;960;0,021;7,120655552
2;220,038;960;0,004;1,356315343
2;220,038;960;0,007;2,373551851
2;220,038;960;0,004;1,356315343
2;220,038;960;0,004;1,356315343
2;220,038;960;0,003;1,017236507
2;220,038;960;0,004;1,356315343
2;220,038;960;0,003;1,017236507
2;220,038;960;0,004;1,356315343
2;220,038;960;0,007;2,373551851
2;220,038;960;0,005;1,695394179
2;220,038;960;0,006;2,034473015
2;220,038;960;0,004;1,356315343
2;220,038;960;0,005;1,695394179
2;220,038;960;0,007;2,373551851
2;220,038;960;0,004;1,356315343
2;220,038;960;0,003;1,017236507
2;220,038;960;0,004;1,356315343
2;220,038;960;0,005;1,695394179
2;220,038;960;0,005;1,695394179
2;220,038;960;0,004;1,356315343
2;220,038;960;0,003;1,017236507
2;220,038;960;0,005;1,695394179
3;0;0;0,389;100,4302926
3;0;0;0,368;95,00860585
3;0;0;0,352;90,8777969
3;0;0;0,374;96,55765921
3;0;0;0,366;94,49225473
3;0;0;0,366;94,49225473
3;0;0;0,328;84,68158348
3;0;0;0,373;96,29948365
3;0;0;0,409;105,5938038
3;0;0;0,67;172,9776248
3;0;0;0,477;123,1497418
3;0;0;0,451;116,4371773
3;0;0;0,331;85,45611015
3;0;0;0,322;83,13253012
