DIA;CONC;MTT;%MTT
4;10;0,088;41,7721519
4;10;0,083;39,39873418
4;10;0,09;42,72151899
4;10;0,09;42,72151899
4;10;0,074;35,12658228
4;10;0,097;46,0443038
4;10;0,104;49,36708861
4;10;0,096;45,56962025
4;50;0,008;3,797468354
4;50;0,012;5,696202532
4;50;0,005;2,373417722
4;50;0,006;2,848101266
4;50;0,009;4,272151899
4;50;0,009;4,272151899
4;50;0,01;4,746835443
4;50;0,009;4,272151899
4;50;0,007;3,32278481
4;50;0,005;2,373417722
4;50;0,011;5,221518987
4;50;0,011;5,221518987
4;50;0,005;2,373417722
4;50;0,005;2,373417722
4;50;0,007;3,32278481
4;50;0,005;2,373417722
4;50;0,005;2,373417722
4;50;0,007;3,32278481
4;50;0,006;2,848101266
4;50;0,005;2,373417722
4;50;0,007;3,32278481
4;50;0,005;2,373417722
4;50;0,008;3,797468354
4;50;0,005;2,373417722
4;100;0,008;3,797468354
4;100;0,011;5,221518987
4;100;0,007;3,32278481
4;100;0,009;4,272151899
4;100;0,009;4,272151899
4;100;0,011;5,221518987
4;100;0,012;5,696202532
4;100;0,0011;0,522151899
4;100;0,011;5,221518987
4;100;0,008;3,797468354
4;100;0,01;4,746835443
4;100;0,009;4,272151899
4;100;0,005;2,373417722
4;100;0,006;2,848101266
4;100;0,007;3,32278481
4;100;0,006;2,848101266
4;100;0,006;2,848101266
4;100;0,008;3,797468354
4;100;0,009;4,272151899
4;100;0,009;4,272151899
4;100;0,007;3,32278481
4;100;0,009;4,272151899
4;100;0,008;3,797468354
4;100;0,011;5,221518987
4;500;0,007;3,32278481
4;500;0,011;5,221518987
4;500;0,003;1,424050633
4;500;0,012;5,696202532
4;500;0,008;3,797468354
4;500;0,011;5,221518987
4;500;0,011;5,221518987
4;500;0,011;5,221518987
4;500;0,009;4,272151899
4;500;0,005;2,373417722
4;500;0,009;4,272151899
4;500;0,011;5,221518987
4;500;0,009;4,272151899
4;500;0,008;3,797468354
4;500;0,007;3,32278481
4;500;0,008;3,797468354
4;500;0,011;5,221518987
4;500;0,006;2,848101266
4;500;0,008;3,797468354
4;500;0,006;2,848101266
4;500;0,006;2,848101266
4;500;0,007;3,32278481
4;500;0,012;5,696202532
4;500;0,013;6,170886076
4;1000;0,007;3,32278481
4;1000;0,014;6,64556962
4;1000;0,014;6,64556962
4;1000;0,015;7,120253165
4;1000;0,011;5,221518987
4;1000;0,012;5,696202532
4;1000;0,013;6,170886076
4;1000;0,018;8,544303797
4;1000;0,015;7,120253165
4;1000;0;0
4;1000;0,032;15,18987342
4;1000;0,022;10,44303797
4;1000;0,013;6,170886076
4;1000;0,013;6,170886076
4;1000;0,008;3,797468354
4;1000;0,011;5,221518987
4;1000;0,007;3,32278481
4;1000;0,011;5,221518987
4;1000;0,007;3,32278481
4;1000;0,013;6,170886076
4;1000;0,011;5,221518987
4;1000;0,004;1,898734177
4;1000;0,004;1,898734177
4;1000;0,007;3,32278481
5;0;0,227;90,739507
5;0;0,26;103,9307129
5;0;0,266;106,3291139
5;0;0,25;99,93337775
5;0;0,28;111,9253831
5;0;0,273;109,1272485
5;0;0,258;103,1312458
5;0;0,266;106,3291139
5;0;0,258;103,1312458
5;0;0,268;107,1285809
5;0;0,274;109,526982
5;0;0,228;91,13924051
5;0;0,248;99,13391073
5;0;0,256;102,3317788
5;0;0,279;111,5256496
5;0;0,241;96,33577615
5;0;0,254;101,5323118
5;0;0,249;99,53364424
5;0;0,239;95,53630913
5;0;0,243;97,13524317
5;0;0,228;91,13924051
5;0;0,226;90,33977348
5;0;0,214;85,54297135
5;0;0,219;87,54163891
5;2;0,303;121,1192538
5;2;0,31;123,9173884
5;2;0,308;123,1179214
5;2;0,269;107,5283145
5;2;0,303;121,1192538
5;2;0,284;113,5243171
5;2;0,277;110,7261825
5;2;0,289;115,5229847
5;2;0,272;108,727515
5;2;0,303;121,1192538
5;2;0,276;110,326449
5;2;0,262;104,7301799
5;2;0,287;114,7235177
5;2;0,284;113,5243171
5;2;0,288;115,1232512
5;2;0,268;107,1285809
5;2;0,271;108,3277815
5;2;0,288;115,1232512
5;2;0,271;108,3277815
5;2;0,257;102,7315123
5;2;0,257;102,7315123
5;2;0,265;105,9293804
5;2;0,264;105,5296469
5;2;0,263;105,1299134
5;5;0,271;108,3277815
5;5;0,239;95,53630913
5;5;0,21;83,94403731
5;5;0,174;69,55363091
5;5;0,237;94,73684211
5;5;0,231;92,33844104
5;5;0,258;103,1312458
5;5;0,254;101,5323118
5;5;0,175;69,95336442
5;5;0,249;99,53364424
5;5;0,211;84,34377082
5;5;0,205;81,94536975
5;5;0,231;92,33844104
5;5;0,223;89,14057295
5;5;0,204;81,54563624
5;5;0,219;87,54163891
5;5;0,211;84,34377082
5;5;0,205;81,94536975
5;5;0,239;95,53630913
5;5;0,234;93,53764157
5;5;0,206;82,34510326
5;5;0,188;75,14990007
5;5;0,169;67,55496336
5;5;0,2;79,9467022
5;10;0,213;85,14323784
5;10;0,176;70,35309793
5;10;0,174;69,55363091
5;10;0,17;67,95469687
5;10;0,183;73,15123251
5;10;0,19;75,94936709
5;10;0,189;75,54963358
5;10;0,183;73,15123251
5;10;0,168;67,15522985
5;10;0,187;74,75016656
5;10;0,184;73,55096602
5;10;0,182;72,751499
